CarNum,numofseats,numofbags,type,When
TS 68 GW 2231,2,one,SUV,Now
TS 34 NS 110108,3,two,Sedan,Now
TS 69 GR 6493,8,two,Hatchback,Later
TS 95 XJ 3873,5,seven,Sedan,Now
TS 80 OZ 9843,8,six,Hatchback,Now
TS 4 UO 9896,5,five,SUV,Now
TS 53 ZV 76610,4,six,Hatchback,Now
TS 6 LR 5475,8,one,Sedan,Later
TS 72 SV 9483,3,seven,Sedan,Now
TS 3 BV 6446,2,six,Hatchback,Now
TS 2 WX 7652,4,seven,SUV,Now
TS 94 DW 8744,6,seven,SUV,Now
TS 68 YQ 93106,8,five,SUV,Now
TS 23 VS 6886,7,one,SUV,Now
TS 19 RR 8381,5,five,SUV,Later
TS 51 RV 6763,7,four,Hatchback,Later
TS 37 BL 7969,6,four,Hatchback,Now
TS 10 YC 3728,8,one,Sedan,Later
TS 67 XA 3146,8,three,Hatchback,Now
TS 58 JG 6885,4,eight,Hatchback,Now
TS 1 ZJ 61017,4,two,Hatchback,Later
TS 52 NE 72103,5,eight,Hatchback,Later
TS 1 PH 13110,7,four,Sedan,Later
TS 89 IC 6465,2,five,Sedan,Later
TS 99 YK 7199,3,three,SUV,Now
TS 20 BB 5792,6,four,Hatchback,Later
TS 18 GN 10196,3,seven,Hatchback,Now
TS 49 IA 7631,5,three,SUV,Now
TS 33 NV 2311,6,five,Hatchback,Now
TS 17 NK 61104,6,seven,Sedan,Now
TS 10 MT 102105,8,three,Hatchback,Now
TS 47 YK 7343,3,one,SUV,Later
TS 36 GY 6597,2,eight,Hatchback,Now
TS 24 RH 9772,5,five,Sedan,Now
TS 41 FS 108610,4,five,Sedan,Now
TS 77 RM 7389,5,three,SUV,Now
TS 95 QH 96510,5,seven,SUV,Later
TS 44 FG 4844,6,one,Sedan,Now
TS 96 BD 4398,3,six,SUV,Now
TS 78 MQ 4243,2,six,SUV,Now
TS 42 DI 2944,8,two,SUV,Now
TS 4 HO 9823,5,two,Hatchback,Later
TS 71 VA 41023,4,five,SUV,Now
TS 82 BB 7785,8,five,Hatchback,Now
TS 30 VE 4174,6,one,Sedan,Later
TS 15 SQ 10252,2,three,Sedan,Now
TS 11 KB 7392,7,seven,Sedan,Now
TS 52 UH 8928,2,four,Hatchback,Later
TS 11 NF 7964,5,seven,SUV,Now
TS 23 DY 5854,5,two,Sedan,Now
TS 54 CK 7275,7,three,Sedan,Later
TS 93 HJ 1736,6,two,Sedan,Later
TS 74 RE 10175,6,three,Sedan,Later
TS 12 LB 3296,6,two,SUV,Later
TS 51 VH 6727,7,four,SUV,Later
TS 91 IS 9476,5,six,Sedan,Now
TS 84 SI 75107,2,five,Sedan,Now
TS 58 RA 10256,6,eight,SUV,Now
TS 46 GJ 64910,6,four,SUV,Now
TS 63 LK 3328,5,four,Sedan,Now
TS 59 SP 9352,6,one,SUV,Later
TS 47 MD 106610,7,seven,Sedan,Later
TS 20 AO 32103,6,three,Sedan,Later
TS 54 CZ 11038,8,one,Hatchback,Later
TS 7 WS 2841,4,five,Sedan,Later
TS 9 WU 9851,3,four,SUV,Now
TS 99 GY 8353,4,two,SUV,Now
TS 97 CP 10624,4,six,Hatchback,Later
TS 96 OM 71022,3,six,Hatchback,Now
TS 91 JV 71044,5,seven,Hatchback,Later
TS 65 NN 10871,7,seven,Sedan,Later
TS 3 UZ 3983,6,seven,Sedan,Later
TS 81 FE 48102,7,eight,Sedan,Now
TS 57 VG 1597,3,six,Sedan,Now
TS 40 CU 53110,6,one,Sedan,Now
TS 28 KB 9697,3,four,Sedan,Now
TS 24 ZR 9722,8,three,Hatchback,Later
TS 43 RP 610105,4,five,Hatchback,Later
TS 45 GP 7287,7,eight,Hatchback,Later
TS 27 LP 9444,3,eight,Sedan,Later
TS 10 UA 9136,2,five,SUV,Now
TS 29 MA 4828,3,seven,Sedan,Later
TS 86 MV 10194,8,eight,SUV,Now
TS 49 UA 6826,6,five,Hatchback,Later
TS 93 OQ 6266,6,three,SUV,Later
TS 27 OA 9333,8,four,Hatchback,Later
TS 17 CU 2798,5,five,Hatchback,Later
TS 70 WJ 101039,7,eight,Hatchback,Now
TS 56 JO 5854,4,five,SUV,Later
TS 90 ZB 8719,6,five,Hatchback,Now
TS 79 EF 2967,8,three,SUV,Later
TS 28 XS 8829,4,six,SUV,Now
TS 53 CW 10382,5,seven,Hatchback,Now
TS 27 DJ 7634,6,five,Sedan,Now
TS 66 VB 62107,4,one,SUV,Later
TS 33 CI 5935,6,six,Sedan,Now
TS 51 YI 51110,4,seven,Hatchback,Now
TS 80 KQ 10352,3,four,Hatchback,Now
TS 19 BX 8472,5,two,SUV,Later
TS 4 TH 5844,7,four,Hatchback,Later
TS 94 RD 1592,8,three,Hatchback,Later
TS 90 DH 25910,7,four,SUV,Later
TS 75 LT 46106,5,eight,SUV,Now
TS 72 AK 8592,3,seven,Sedan,Now
TS 78 OT 92910,4,three,SUV,Later
TS 7 MW 10868,4,six,Sedan,Later
TS 97 JE 1983,4,two,Hatchback,Now
TS 23 RF 1414,2,seven,Hatchback,Later
