zone,status,cuisine,guests
East,Economy,African,9
South,Medium,NorthIndian,4
South,Economy,NorthIndian,3
South,Medium,NorthIndian,8
West,Economy,European,4
North,Economy,NorthIndian,5
North,Luxury,Vegan,4
North,Economy,Asian,6
South,Medium,Vegetarian,5
North,Economy,European,8
North,Medium,European,9
West,Medium,Vegan,9
North,Medium,African,6
West,Medium,European,6
West,Medium,SouthIndian,7
South,Economy,SouthIndian,6
West,Luxury,Vegetarian,4
East,Medium,European,9
West,Luxury,NorthIndian,8
West,Medium,NorthIndian,7
North,Medium,SouthIndian,10
East,Luxury,NorthIndian,6
North,Economy,Asian,4
North,Luxury,Vegan,10
West,Medium,NorthIndian,9
West,Economy,Asian,1
North,Medium,NorthIndian,4
East,Economy,European,10
South,Economy,European,8
South,Medium,SouthIndian,9
South,Medium,African,8
North,Economy,Vegetarian,8
South,Luxury,Vegetarian,4
North,Medium,European,10
South,Luxury,African,6
North,Luxury,African,6
South,Economy,SouthIndian,10
North,Luxury,SouthIndian,1
South,Economy,NorthIndian,2
North,Economy,European,1
North,Economy,SouthIndian,2
North,Medium,European,8
North,Economy,Asian,6
West,Medium,NorthIndian,8
West,Economy,Asian,4
South,Economy,Vegetarian,7
East,Medium,NorthIndian,9
West,Luxury,Asian,4
North,Medium,European,2
North,Economy,Vegan,9
South,Economy,European,7
East,Economy,SouthIndian,1
West,Medium,Asian,8
East,Medium,African,8
East,Economy,African,1
West,Luxury,Asian,8
South,Luxury,African,4
North,Economy,Vegetarian,5
East,Luxury,European,4
East,Economy,NorthIndian,3
South,Luxury,Vegan,5
South,Economy,Vegetarian,4
South,Economy,Asian,6
North,Economy,Vegan,10
East,Luxury,Vegetarian,9
West,Medium,African,1
West,Luxury,SouthIndian,7
North,Luxury,SouthIndian,7
East,Economy,Vegetarian,9
North,Medium,NorthIndian,1
South,Economy,Vegan,10
South,Economy,Asian,9
East,Medium,NorthIndian,3
North,Luxury,SouthIndian,7
South,Luxury,African,2
North,Medium,African,10
East,Economy,African,9
East,Luxury,European,4
South,Luxury,SouthIndian,3
South,Economy,Vegetarian,3
North,Economy,NorthIndian,1
West,Economy,Vegetarian,9
West,Medium,Vegetarian,7
South,Luxury,SouthIndian,5
East,Medium,Vegetarian,8
East,Luxury,European,1
East,Economy,NorthIndian,8
East,Medium,African,2
South,Luxury,African,9
